name,identifier,parent
Unclassified North Borneo Malayo-Polynesian,None,nort3253
North Sarawakan,None,nort3253
Kenyahic,None,nort3171
Lowland Kenyah,None,keny1280
Western Lowland Kenyah-Penan,None,lowl1270
Penan,None,west2875
Western Penan-Sebop,None,pena1271
Highland Kenyah,None,keny1280
Upper Pujungan,None,high1288
Berawan-Lower Baram,None,nort3171
Lower Baram,None,bera1263
Central Lower Baram B,None,cent2094
Central Lower Baram A,None,cent2094
Berawan,None,bera1263
Central-East Berawan,None,bera1264
Dayic,None,nort3171
Kelabitic,None,kela1257
Land Dayak,None,mala1545
Benyadu-Bekati,None,land1261
Bakati',None,beny1238
Rara-Sara Bakati',None,baka1275
Bidayuh-Southern Land Dayak,None,land1261
Bidayuh-Rejang,None,bida1239
Sadong-Rejang,None,bida1237
Southern Land Dayak,None,bida1239
Lampungic,None,mala1545
Basap-Greater Barito,None,mala1545
Greater Barito linkage,None,basa1291
Sama-Bajaw,genus/samabajaw,grea1283
Sulu-Borneo,None,sama1302
Borneo Coast Bajaw,None,sulu1242
Inner Sulu Sama,None,sulu1242
North East Greater Barito,None,grea1283
South West Greater Barito,None,grea1283
Southeast Barito,None,grea1283
Malagasic,None,sout2919
North-Central Malagasic,None,mala1537
Central-Eastern Malagasic,None,nort3196
Northern Malagasic,None,nort3196
Tsimihety-Betsimisaraka,None,nort3207
Southwestern Malagasic,None,mala1537
South West-Central Malagasic,None,sout3174
Nuclear South West-Central Malagasic,None,sout3346
Inland-Western Malagasic,None,nucl1799
Western Malagasic,None,inla1273
Bara-Tanosy,None,inla1273
Maanyan-Paku,None,sout2919
Barito-Mahakam,None,grea1283
North West Greater Barito,None,grea1283
Moken-Moklen,None,mala1545
Celebic,None,mala1545
Kaili-Pamona-Wotu-Wolio,None,cele1242
Kaili-Pamona,None,kail1255
Southern Kaili-Pamona,None,kail1253
Badaic,None,sout2926
Northern Kaili-Pamona,None,kail1253
Kaili,None,nort2898
Kulawi,None,kail1254
Pamona-Tombelala,None,nort2898
Wotu-Wolio,None,kail1255
Kalao-Laiyolo,None,wotu1239
Wolio-Kamaru,None,wotu1239
Eastern Celebic,None,cele1242
Southeastern Celebic,None,east2488
Muna-Buton,None,sout2928
Tukangbesi-Bonerate,None,muna1246
Tukang Besi,tuk,tuka1246
Nuclear Muna-Buton,None,muna1246
Munan,None,nucl1573
Munic,None,muni1256
Western Munic,None,muni1259
Butonic,None,nucl1573
East Buton,None,buto1237
Bungku-Tolaki,None,sout2928
Western Bungku-Tolaki,None,bung1268
West Coast Bungku-Tolaki,None,west2566
Interior Bungku-Tolaki,None,west2566
Eastern Bungku-Tolaki,None,bung1268
East Coast Bungku-Tolaki,None,east2489
Saluan-Banggai,None,east2488
Eastern Saluan-Banggai,None,salu1251
Western Saluan-Banggai,None,salu1251
Saluanic,None,west2571
Batui-Saluan,None,salu1252
Tomini-Tolitoli,None,cele1242
Tominic,None,tomi1241
Southern Tomini,None,tomi1242
Northern Tomini,None,tomi1242
Tolitoli,None,tomi1241
Northwest Formosan,None,aust1307
East Formosan,None,aust1307
Northern East Formosan,None,east2493
Central East Formosan,None,east2493
East Bird's Head,genus/eastbirdshead,tree
Meax,None,east1459
Yeniseian,genus/yeniseian,tree
Southern Yeniseian,None,yeni1252
Arin-Pumpokol,None,sout2751
Northern Yeniseian,None,yeni1252
Totonacan,genus/totonacan,tree
Totonac,None,toto1251
Central Totonacan,None,toto1252
Lowland-Sierra Totonacan,None,cent1397
Sierra Totonacan,None,lowl1271
Northern Totonacan,None,cent1397
Necaxan,None,nort3265
Tepehua,None,toto1251
Artificial Language,None,tree
Esperantic,None,arti1236
Efate-group-based Artificial Language,None,arti1236
Mailuan,None,tree
Binaharic,None,mail1249
Bauwakic,None,mail1249
Nuclear-Macro-Je,None,tree
Aimore,None,nucl1710
Je,None,nucl1710
Je Setentrional,None,jeee1236
Core Northern Je,None,jese1235
Eastern Timbira,None,core1264
Southeastern Timbira,None,timb1253
Je Central,None,jeee1236
Je Meridional,None,jeee1236
Kaingang-Xokleng,None,jeme1246
Kaingangic,None,kain1270
Ingain-Kimda,None,jeme1246
Jabuti,None,nucl1710
Maxakalian,None,nucl1710
Western Maxakali,None,maxa1246
Unclassified Maxakalian,None,maxa1246
Bororoan,None,tree
Bororo-Otuke,None,boro1281
Harakmbut,None,tree
Miwok-Costanoan,None,tree
Miwokan,None,miwo1274
Western Miwokan,None,miwo1275
Eastern Miwokan,None,miwo1275
Sierra Miwokan,None,east2546
Costanoan,genus/costanoan,miwo1274
Northern Costanoan,None,cost1250
Pauwasi,None,tree
